case_id,model_type,arrival_rate,service_rate,num_servers,timeout,spawn_time,blocking_probability,latency,cpu_usage,ram_usage
58,Markov,6.917646268606959,1.6336806754859623,6,6.706628204901236,3.4030907275682343,0.016629968504726568,0.8566738872630836,213.14101759951416,314.82654688973474
59,Markov,14.067026988774884,1.2518403103093358,10,0.8120595378158074,0.8400569660095032,0.027380585777715544,0.9608409679404782,550.8295143813967,567.9613589265741
60,Markov,7.7325785816731365,2.668210514028017,3,5.682135430017154,0.7236285595569576,0.06783618353187744,0.4160652899047874,137.70648146112308,187.0814553918996
61,Markov,16.31888053511669,2.1542294507337445,15,5.392542045644678,7.414495249211307,0.0017089787227038684,0.8738911980985485,389.64482280473874,648.3442983502431
62,Markov,23.037484793717855,0.6986413454306462,6,9.11357668645223,9.493639003461789,0.6653482244646135,1.494837214310171,552.7113253145407,470.18136443879126
63,Markov,21.283257206172816,2.8221538508576978,10,5.348896960075036,7.985138077831502,0.03585257250644737,0.658483278774922,373.977349709987,603.4964781768183
64,Markov,10.301017433349237,3.6444670619770134,20,7.340015778642726,9.673264780709905,1.535245036727572e-06,0.7880229272811755,150.62952927509616,392.2297423524493
65,Markov,20.907990240817497,2.7986201464119063,14,7.06792198864561,7.364608457232255,0.0020304147501746584,0.633670786897676,384.0827729590347,637.2310302564506
66,Markov,12.281724335503707,2.5886610940499777,2,9.989554058017962,1.5160470924248513,0.39755894830888516,0.4061712977624139,144.02782659462224,147.80426258977224
67,Markov,21.19028947653196,2.5879068396113767,2,4.346099000225523,5.518429996180114,0.6416047536518034,0.4641246299370735,147.7855220152377,149.0340864083844
68,Markov,11.398839448854293,2.030309124612356,9,4.477373887226223,1.583267872370942,0.0010115805929358933,0.6116841627368884,285.62653449121,380.1560092231421
69,Markov,21.845205490654276,3.0004743338152773,9,8.910090058126423,6.754081855717617,0.02061349405757745,0.5076740737783789,365.17858220634963,544.8190774729077
70,Markov,6.216996986826318,1.214344618673124,3,7.549241619288148,0.6345922848697729,0.214413856278797,0.8513619332884917,202.8511240162818,213.5428083321089
71,Markov,24.512241288262548,3.943187361324137,19,8.542260762693804,1.9875711197793238,6.8918148397729584e-09,0.3084316704951418,317.93789833467036,462.2628525429491
72,Markov,23.248522308605335,0.9307282036966886,8,3.7911866377612418,7.321169548584965,0.4724954350571286,1.2234097951990581,661.5961343435871,610.2544710075973
73,Markov,24.716150547333054,1.0715837442995761,5,5.51791119815411,2.0607882055173707,0.602167519403695,0.9556381115692385,459.61308923553895,391.3849288589242
74,Markov,21.64898123989122,3.638196516347816,18,8.996934129711223,2.575896788006381,6.203580140687148e-08,0.3495735007077849,304.7902421267645,456.0207940316917
75,Markov,19.96029808910619,2.8708785476127665,6,4.608711689903369,3.3972363685447546,0.09754572347990953,0.4677715693819143,318.7942687753975,403.0942092581959
