case_id,model_type,arrival_rate,service_rate,num_servers,warm_percent,spawn_time,blocking_probability,latency,cpu_usage,ram_usage
124,Markov,15.0,0.25,15,0.5,4,0.6323319916543801,5.337339280397953,1125.445756718499,1113.127987743024
125,Markov,15.0,0.25,15,0.5,8,0.6728022888110268,6.016002372884623,1011.591917408949,1091.5697961709707
126,Markov,15.0,0.25,15,0.7,2,0.5611198301453292,4.443093645124244,1325.8925754402567,1155.855871128234
127,Markov,15.0,0.25,15,0.7,4,0.5848716546441873,4.708028574199014,1259.1126991744013,1143.6074646381728
128,Markov,15.0,0.25,15,0.7,8,0.6090110721920318,5.0095685388688524,1191.2307790848786,1131.0361880634491
129,Markov,15.0,0.25,15,1.0,2,0.5148794687028414,4.000000000000001,1456.2543620136464,1191.072318778295
130,Markov,15.0,0.25,15,1.0,4,0.5148794687028414,4.000000000000001,1456.2543620136464,1191.072318778295
131,Markov,15.0,0.25,15,1.0,8,0.5148794687028414,4.000000000000001,1456.2543620136464,1191.072318778295
132,Markov,15.0,0.25,30,0.3,2,0.2631676771904128,5.203910717245135,2250.8180538284178,2179.657839513924
133,Markov,15.0,0.25,30,0.3,4,0.36686915913677876,6.147036038944731,1960.9659560999135,2143.2977639485784
134,Markov,15.0,0.25,30,0.3,8,0.4770082886718666,7.51362438317458,1652.0694438335504,2094.172616453374
135,Markov,15.0,0.25,30,0.5,2,0.20732002534321292,4.775999024052032,2406.613041994898,2206.0184818650687
136,Markov,15.0,0.25,30,0.5,4,0.27700438985021786,5.316052686977414,2212.6971127649895,2190.147649959314
137,Markov,15.0,0.25,30,0.5,8,0.3527463139228134,6.003951875656904,2001.02176207454,2163.8712474584627
138,Markov,15.0,0.25,30,0.7,2,0.15627555943655586,4.412409710295913,2548.6468666642018,2235.98086967624
139,Markov,15.0,0.25,30,0.7,4,0.19376107083900493,4.677191634945082,2445.101147249019,2235.1237902320127
140,Markov,15.0,0.25,30,0.7,8,0.23572764090104162,4.989469196014197,2328.6624934773477,2229.0145862275003
141,Markov,15.0,0.25,30,1.0,2,0.0962668120092057,4.0,2716.975572692935,2342.2399127944764
142,Markov,15.0,0.25,30,1.0,4,0.0962668120092057,4.0,2716.975572692935,2342.2399127944764
143,Markov,15.0,0.25,30,1.0,8,0.0962668120092057,4.0,2716.975572692935,2342.2399127944764
144,Markov,15.0,1.0,5,0.3,2,0.6642144184667828,1.8923742793075917,265.5338392838505,342.62916824772765
