lambda,theta,repetition,profile_name,profile_color,profile_marker,profile_line,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request,power_usage_per_request,,,,,
8,0.514545455,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.052127765,4.330445102,76.51549,52.651549,118.5985232,,,,,
8,0.615454545,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.054885837,4.363728727,76.59224739,52.65922474,118.8132456,,,,,
8,0.716363636,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.057435349,4.393902006,76.68833609,52.66883361,119.015075,,,,,
8,0.817272727,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.059817168,4.421606785,76.79541971,52.67954197,119.2061342,,,,,
8,0.918181818,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.062059888,4.447292303,76.90867319,52.69086732,119.3879958,,,,,
8,1.019090909,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.064184459,4.4712871,77.02516275,52.70251627,119.561864,,,,,
8,1.12,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.0662068,4.493839823,77.14304029,52.71430403,119.7286859,,,,,
8,1.220909091,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.068139351,4.515143901,77.26111247,52.72611125,119.8892233,,,,,
8,1.321818182,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.069992074,4.535353247,77.37859634,52.73785963,120.0441003,,,,,
8,1.422727273,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.071773096,4.554592664,77.49497434,52.74949743,120.1938361,,,,,
8,1.523636364,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.073489162,4.572964983,77.60990485,52.76099048,120.3388692,,,,,
8,1.624545455,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.07514595,4.590556111,77.72316526,52.77231653,120.4795736,,,,,
8,1.725454545,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.076748298,4.607438677,77.83461476,52.78346148,120.6162722,,,,,
8,1.826363636,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.07830037,4.623674732,77.94416944,52.79441694,120.7492458,,,,,
8,1.927272727,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.079805791,4.639317786,78.05178532,52.80517853,120.8787411,,,,,
8,2.028181818,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.081267734,4.654414362,78.15744663,52.81574466,121.0049761,,,,,
8,2.129090909,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.082689006,4.669005215,78.26115747,52.82611575,121.128145,,,,,
8,2.23,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.084072101,4.683126278,78.36293605,52.83629361,121.2484213,,,,,
8,2.330909091,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.08541925,4.696809433,78.46281036,52.84628104,121.3659616,,,,,
8,2.431818182,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.086732463,4.710083119,78.56081518,52.85608152,121.4809073,,,,,
8,2.532727273,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.088013554,4.722972832,78.65698983,52.86569898,121.5933869,,,,,
8,2.633636364,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.089264172,4.735501535,78.75137657,52.87513766,121.7035178,,,,,
8,2.734545455,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.090485822,4.74769,78.84401935,52.88440194,121.8114073,,,,,
8,2.835454545,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.09167988,4.75955709,78.93496301,52.8934963,121.9171543,,,,,
8,2.936363636,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.092847613,4.771119995,79.02425257,52.90242526,122.0208499,,,,,
8,3.037272727,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.093990186,4.782394434,79.11193278,52.91119328,122.1225782,,,,,
8,3.138181818,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.09510868,4.793394829,79.19804781,52.91980478,122.2224176,,,,,
8,3.239090909,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.096204094,4.804134447,79.28264098,52.9282641,122.3204407,,,,,
8,3.34,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.097277359,4.81462553,79.3657546,52.93657546,122.4167155,,,,,
8,3.440909091,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.098329342,4.824879399,79.44742985,52.94474298,122.5113052,,,,,
8,3.541818182,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.099360855,4.834906553,79.52770671,52.95277067,122.6042693,,,,,
8,3.642727273,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.100372654,4.844716747,79.60662395,52.96066239,122.6956635,,,,,
8,3.743636364,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.101365453,4.854319067,79.68421905,52.96842191,122.7855403,,,,,
8,3.844545455,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.10233992,4.863721993,79.76052826,52.97605283,122.8739492,,,,,
8,3.945454545,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.103296686,4.872933451,79.83558658,52.98355866,122.9609366,,,,,
8,4.046363636,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.104236345,4.88196087,79.90942779,52.99094278,123.0465468,,,,,
8,4.147272727,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.105159459,4.890811215,79.98208446,52.99820845,123.1308215,,,,,
