lambda,theta,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
0.5,0.26,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.6330915823407044,72.5513113183274,52.122357771700024
0.5,0.27,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.9353504459340574,73.69986253110527,52.211432364763596
0.5,0.28,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.8367541673890724,75.96617174025924,54.71043969863023
0.5,0.29000000000000004,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.8878650336552396,74.75731535292505,54.249301544954974
0.5,0.3,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.7266566148618927,70.62677176940228,51.265437103675374
0.5,0.31,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.7863935258392516,74.47214790571665,54.47425698511347
0.5,0.32,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.8876585096293117,72.83532428220639,51.68990160690153
0.5,0.33,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.836009595942216,72.01069710731693,51.82117501439978
0.5,0.34,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.9358628829504085,74.33849529337012,53.546692500845054
0.5,0.35000000000000003,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.889181326919793,73.7789578485369,53.23211249836171
0.5,0.36000000000000004,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.9800544252038272,72.92743752603884,52.14308817592688
0.5,0.37,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.998522484483194,74.1506549923583,53.11689744523341
0.5,0.38,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.98197683606837,72.02293352137033,52.303875060054104
0.5,0.39,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.038614623390754,74.07130347356498,53.467933938892955
0.5,0.4,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.164671144028539,74.8118324191435,53.14583536105257
0.5,0.41000000000000003,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.085607014905574,73.25750139105588,51.54917244107978
0.5,0.42000000000000004,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.079918138749453,75.16589700918138,54.74342704112199
0.5,0.43,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.194004928495657,75.64479111103422,55.3698933574411
0.5,0.44,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.263444337695745,75.28833384627555,52.99290071736254
0.5,0.45,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.248763450403319,73.82691468669418,52.420520135211135
0.5,0.46,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.243323301509425,74.87332488075793,53.92992023084194
0.5,0.47000000000000003,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.285401942744418,76.39027701918405,55.147304127534156
0.5,0.48000000000000004,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.180935340485777,73.67613497526996,53.1209144274735
0.5,0.49,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.401082783259065,75.46531779527933,53.77993312087899
0.5,0.5,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.335391000995447,75.77173651917019,54.07761330224014
0.5,0.51,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.231281826812304,73.11434090264687,52.29762727564398
0.5,0.52,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.319552223803699,73.1264047946213,51.908219191854855
0.5,0.53,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.530820741891695,78.15277083239216,56.027310773565944
0.5,0.54,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.309033147576488,73.98067163147354,52.99335392437392
0.5,0.55,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.371293419085272,74.53727648810377,53.43460385028273
0.5,0.56,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.355266943051197,73.75162509088317,53.97455773173321
0.5,0.5700000000000001,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.410991199104716,73.6166603189119,53.01243513237979
0.5,0.5800000000000001,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.381066862964373,73.97092955994421,53.99587801303486
