lambda,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,best_theta_blocking_ratios,best_blocking_ratios_value,best_theta_latency,best_latency_value,best_theta_ram_usage_per_request,best_ram_usage_per_request_value,best_theta_cpu_usage_per_request,best_cpu_usage_per_request_value
1.019090909090909,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.22066961309206706,4.143131313131313,3.8980868954049606,1.9253535353535356,1.9327427852590682
1.1199999999999999,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.2154672119762713,4.8487878787878795,3.8764686375442006,4.8487878787878795,1.9378473595708734
1.220909090909091,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21769934662675833,3.941515151515152,3.8432298365636566,3.4878787878787882,1.9401654088260976
1.3218181818181818,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21541647102898265,3.840707070707071,3.7248756068035664,3.840707070707071,1.886971794873486
1.4227272727272726,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21776431738494387,2.9838383838383837,3.7315768460782497,1.5221212121212122,1.891936171730509
1.5236363636363637,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21620028857514334,3.639090909090909,3.7072839956842767,3.3870707070707073,1.8839920913051316
1.6245454545454545,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.2135308772008859,1.1692929292929295,3.6077094627116373,1.1692929292929295,1.8477200674010017
1.7254545454545454,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21777466160202358,1.471717171717172,3.552003802814772,1.471717171717172,1.830737955092877
1.8263636363636364,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21406840207450187,1.4213131313131315,3.502526737959611,1.4213131313131315,1.8204718002181308
1.9272727272727272,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.209459612175872,0.866868686868687,3.4886297244339364,2.378989898989899,1.8159043658846683
2.028181818181818,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21855397543680113,1.2701010101010102,3.4319903258952777,1.1692929292929295,1.8077238199744803
2.129090909090909,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.215926221530134,1.0684848484848486,3.3565452748259017,1.1692929292929295,1.7679927052294626
2.2299999999999995,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21215599398955476,0.866868686868687,3.3399914495067073,1.118888888888889,1.7692234921408352
2.3309090909090906,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21272849187796922,1.2701010101010102,3.2793670689226713,1.6733333333333336,1.7458926353135422
2.4318181818181817,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.20694002273625597,0.9172727272727274,3.254549869517175,1.8245454545454547,1.7353084192778763
2.5327272727272723,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.20989073505593167,0.9676767676767678,3.196748095889671,0.9676767676767678,1.7229394589055789
2.6336363636363633,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.20882256062263124,0.7156565656565658,3.1552589568055796,0.7156565656565658,1.7033790614621018
2.7345454545454544,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21305394095033722,1.118888888888889,3.128239734590362,1.118888888888889,1.6978166583187202
2.835454545454545,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.20874078476829294,1.118888888888889,3.107736316102363,0.4132323232323233,1.693532420752339
2.936363636363636,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21278216199053437,1.0180808080808081,3.054699761769896,0.7660606060606061,1.6773510095834345
3.037272727272727,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21057811207552168,0.9172727272727274,3.0253958638980007,0.9676767676767678,1.6680932054088973
3.1381818181818177,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21232962215793091,1.0180808080808081,3.0086016476573705,0.9676767676767678,1.6681075982872888
3.239090909090909,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.2125986484110303,0.9676767676767678,2.9613141558167175,0.614848484848485,1.6403293851572713
3.34,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.2103027947156923,0.7156565656565658,2.9536518813392982,1.4213131313131315,1.6348359777506578
3.4409090909090905,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.2082872203552175,0.6652525252525253,2.9178024438443244,0.6652525252525253,1.632334745925974
3.5418181818181815,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.20880257035502367,0.5644444444444445,2.8738504936812874,0.4636363636363637,1.6204650370479123
3.6427272727272726,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21303580637320338,0.6652525252525253,2.833179808234045,0.6652525252525253,1.601668638559458
3.743636363636363,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21197934366140853,0.7660606060606061,2.815705967598893,0.7660606060606061,1.5980792704869557
3.8445454545454543,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.21301931341270489,0.5644444444444445,2.821102642974709,0.7660606060606061,1.603022466472122
3.9454545454545453,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.2108597426986287,0.614848484848485,2.776421853553868,0.614848484848485,1.5810591409810444
4.046363636363636,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.20844560224389158,0.6652525252525253,2.7471722994000505,0.6652525252525253,1.571492089369023
4.1472727272727266,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.2105195582290171,0.614848484848485,2.7232226375190036,0.614848484848485,1.574068900156058
4.248181818181818,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.2100665499641133,0.4636363636363637,2.7368169387473067,0.4636363636363637,1.5694144181877914
4.349090909090909,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.20736886887798764,0.6652525252525253,2.7102747580810176,1.0684848484848486,1.5650875684828598
