lambda,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,best_theta_blocking_ratios,best_blocking_ratios_value,best_theta_latency,best_latency_value,best_theta_ram_usage_per_request,best_ram_usage_per_request_value,best_theta_cpu_usage_per_request,best_cpu_usage_per_request_value
6.266363636,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.050337201,0.262020202,50.45744304,1.522121212,50.4157823
6.367272727,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.058271593,0.262020202,50.16985005,0.262020202,50.49003161
6.468181818,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.08385684,0.211616162,49.64847209,0.211616162,49.86207565
6.569090909,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.048708836,0.161212121,50.44759179,1.068484848,50.62992873
6.67,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.069200598,0.161212121,49.86541657,0.161212121,50.43433505
6.770909091,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.075114228,0.262020202,49.76245274,0.262020202,50.38798289
6.871818182,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.061320627,0.110808081,49.85658479,0.413232323,50.54425777
6.972727273,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.054414508,0.161212121,49.6692385,0.866868687,50.51778545
7.073636364,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.062708765,0.110808081,49.93583362,0.766060606,50.4333917
7.174545455,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.045809043,0.211616162,49.5559336,0.211616162,50.49129948
