request_id,image,send_time,success,warm,processing_time_s,response_time_s
2874,000000333069.jpg,1776419408.0270882,True,,1.89,1.897738
2875,000000333237.jpg,1776419409.9249208,True,,1.7,1.704447
2876,000000333402.jpg,1776419411.629458,True,,1.89,1.894581
2877,000000333697.jpg,1776419413.5241275,True,,1.79,1.802271
2878,000000333745.jpg,1776419415.3264883,True,,1.79,1.799854
2879,000000333772.jpg,1776419417.1264286,True,,1.89,1.901124
2880,000000333956.jpg,1776419419.0276396,True,,1.79,1.799538
2881,000000334006.jpg,1776419420.8272643,True,,1.89,1.900767
2882,000000334309.jpg,1776419422.728117,True,,1.89,1.898548
2883,000000334371.jpg,1776419424.6267555,True,,1.49,1.500119
2884,000000334399.jpg,1776419426.1269789,True,,1.99,2.001263
2885,000000334417.jpg,1776419428.1283417,True,,1.79,1.797254
2886,000000334483.jpg,1776419429.9256845,True,,1.99,1.999918
2887,000000334521.jpg,1776419431.9256861,True,,1.79,1.79904
2888,000000334530.jpg,1776419433.7248087,True,,2.0,2.002898
2889,000000334555.jpg,1776419435.7277884,True,,1.99,1.997207
2890,000000334719.jpg,1776419437.7250805,True,,1.69,1.702306
2891,000000334767.jpg,1776419439.427467,True,,1.99,1.997361
2892,000000334977.jpg,1776419441.4249249,True,,1.39,1.40186
2893,000000335081.jpg,1776419442.8268719,True,,1.39,1.400799
2894,000000335177.jpg,1776419444.2277658,True,,1.79,1.798837
2895,000000335328.jpg,1776419446.0266926,True,,2.09,2.10249
2896,000000335427.jpg,1776419448.1292672,True,,1.79,1.800014
2897,000000335450.jpg,1776419449.9293733,True,,1.7,1.796021
2898,000000335529.jpg,1776419451.72549,True,,1.99,1.999443
2899,000000335658.jpg,1776419453.7250206,True,,2.0,2.002789
2900,000000335800.jpg,1776419455.7279158,True,,1.89,1.899214
2901,000000335954.jpg,1776419457.627215,True,,2.49,2.499418
2902,000000336053.jpg,1776419460.12672,True,,1.99,2.001573
2903,000000336209.jpg,1776419462.1283863,True,,1.79,1.798527
2904,000000336232.jpg,1776419463.926999,True,,1.99,1.998756
2905,000000336265.jpg,1776419465.92584,True,,1.99,2.00228
2906,000000336309.jpg,1776419467.928212,True,,1.89,1.899314
2907,000000336356.jpg,1776419469.827627,True,,1.79,1.799771
2908,000000336587.jpg,1776419471.6274886,True,,1.4,1.403251
2909,000000336628.jpg,1776419473.0308251,True,,1.39,1.395622
2910,000000336658.jpg,1776419474.426532,True,,1.39,1.398145
2911,000000337055.jpg,1776419475.8247643,True,,1.3,1.398288
2912,000000337498.jpg,1776419477.223138,True,,1.79,1.800931
2913,000000337987.jpg,1776419479.0241551,True,,2.09,2.100641
2914,000000338191.jpg,1776419481.124883,True,,2.39,2.402697
2915,000000338219.jpg,1776419483.5276656,True,,2.29,2.300297
2916,000000338304.jpg,1776419485.8280463,True,,1.7,1.703978
2917,000000338325.jpg,1776419487.5321107,True,,1.61,1.697168
2918,000000338428.jpg,1776419489.229362,True,,1.5,1.596005
2919,000000338532.jpg,1776419490.8254504,True,,1.8,1.804627
2920,000000338560.jpg,1776419492.630163,True,,1.79,1.796662
2921,000000338624.jpg,1776419494.4269164,True,,1.59,1.596588
2922,000000338625.jpg,1776419496.023585,True,,1.8,1.803843
2923,000000338718.jpg,1776419497.8275115,True,,2.09,2.101679
2924,000000338901.jpg,1776419499.9292717,True,,1.89,1.894433
2925,000000338905.jpg,1776419501.823787,True,,1.8,1.80349
2926,000000338986.jpg,1776419503.627362,True,,1.59,1.601159
2927,000000339442.jpg,1776419505.2286198,True,,1.99,1.996933
2928,000000339823.jpg,1776419507.2256415,True,,1.89,1.899148
2929,000000339870.jpg,1776419509.1248765,True,,1.79,1.799201
2930,000000340015.jpg,1776419510.924156,True,,1.8,1.803622
2931,000000340175.jpg,1776419512.7278593,True,,1.69,1.696617
2932,000000340272.jpg,1776419514.424565,True,,1.5,1.503169
2933,000000340451.jpg,1776419515.927819,True,,1.79,1.796949
2934,000000340697.jpg,1776419517.7248523,True,,1.89,1.89968
2935,000000340894.jpg,1776419519.6246183,True,,1.79,1.802122
2936,000000340930.jpg,1776419521.4268386,True,,1.89,1.897974
2937,000000341058.jpg,1776419523.324919,True,,1.59,1.6022
2938,000000341094.jpg,1776419524.927208,True,,1.69,1.697489
